"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.357996700E-2,-1.381855011E-1,2.572284266E-2,9.778569221E0,9.779579383E0
2.599429000E-2,-1.645065546E-1,8.315058798E-2,9.902996063E0,9.904711377E0
2.840861300E-2,-1.645065546E-1,3.050848842E-2,9.946066856E0,9.947474005E0
3.082298800E-2,-2.051845491E-1,3.050848842E-2,1.002024364E1,1.002239064E1
3.323731100E-2,-2.748754919E-1,9.032905847E-2,1.006570721E1,1.006986482E1
3.565163400E-2,-2.748754919E-1,1.118644550E-1,1.009442139E1,1.009878276E1
3.806595700E-2,-3.083750308E-1,1.214357466E-1,1.011835003E1,1.012377643E1
4.048033200E-2,-2.820539773E-1,9.272187948E-2,1.010877800E1,1.011313722E1
4.289465500E-2,-3.083750308E-1,7.597211748E-2,1.005135059E1,1.005636692E1
4.530897800E-2,-2.772683203E-1,1.142572835E-1,1.004895782E1,1.005343154E1
4.772335300E-2,-2.243271172E-1,6.161518395E-2,9.993923187E0,9.996630420E0
5.013767600E-2,-1.980060786E-1,9.750752151E-2,9.965209007E0,9.967652917E0
5.255199900E-2,-2.003988922E-1,7.118647546E-2,9.886245728E0,9.888532844E0
5.496637400E-2,-1.597209126E-1,6.879365444E-2,9.840782166E0,9.842318678E0
5.738069700E-2,-9.990034252E-2,2.811566554E-2,9.788140297E0,9.788690466E0
5.979501900E-2,-1.142572835E-1,7.118647546E-2,9.757033348E0,9.757961980E0
6.220939400E-2,-9.272187948E-2,7.597211748E-2,9.745069504E0,9.745806726E0
6.462371700E-2,-1.046859920E-1,4.007977992E-2,9.730711937E0,9.731357580E0
6.703804000E-2,-1.286142170E-1,8.793623000E-2,9.757033348E0,9.758277212E0
6.945241500E-2,-1.597209126E-1,6.400800496E-2,9.752247810E0,9.753765691E0
7.186673800E-2,-1.549352705E-1,5.204389244E-2,9.819247246E0,9.820607414E0
7.428106100E-2,-1.262213886E-1,5.682953820E-2,9.840782166E0,9.841755690E0
7.669538400E-2,-1.812563092E-1,9.032905847E-2,9.900602341E0,9.902673371E0
7.910975900E-2,-1.788634956E-1,8.075776696E-2,9.905388832E0,9.907332733E0
8.152408200E-2,-2.437688112E-1,5.682953820E-2,9.919745445E0,9.922902928E0
8.393845700E-2,-2.123630047E-1,4.486542568E-2,9.965209007E0,9.967572498E0
8.635278000E-2,-2.075773627E-1,7.118647546E-2,9.981958389E0,9.984370244E0
8.876710300E-2,-2.099701911E-1,8.075776696E-2,9.943673134E0,9.946217607E0
9.118142600E-2,-2.195414752E-1,8.315058798E-2,9.965209007E0,9.967973868E0
9.359580100E-2,-1.668993831E-1,1.046859920E-1,9.938887596E0,9.940840066E0
9.601012400E-2,-2.075773627E-1,4.007977992E-2,9.950852394E0,9.953097916E0
9.842444700E-2,-2.171486616E-1,8.793623000E-2,9.898209572E0,9.900981722E0
1.008388220E-1,-1.668993831E-1,9.750752151E-2,9.874281883E0,9.876173643E0
1.032531440E-1,-1.932204217E-1,6.161518395E-2,9.843174934E0,9.845264006E0
1.056674670E-1,-1.645065546E-1,7.357929647E-2,9.828818321E0,9.830470279E0
1.080818420E-1,-1.597209126E-1,7.597211748E-2,9.819247246E0,9.820840036E0
1.104961650E-1,-1.333998591E-1,6.879365444E-2,9.833603859E0,9.834749257E0
1.129104880E-1,-1.310070455E-1,6.640082598E-2,9.795318604E0,9.796419676E0
