"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.898324200E-2,-3.206948051E-3,-3.665083554E-3,-0.000000000E0,4.870046536E-3
5.139766900E-2,-1.374406274E-3,-2.443389036E-3,6.108472589E-4,2.869194479E-3
5.381209600E-2,5.344913807E-4,-3.054236295E-3,-6.108472589E-4,3.160249160E-3
5.622652400E-2,-7.635590737E-4,-1.221694518E-3,-1.221694518E-3,1.888940827E-3
5.864089900E-2,1.145338640E-3,1.221694518E-3,-0.000000000E0,1.674615805E-3
6.105532600E-2,-1.527118147E-4,3.054236295E-3,-0.000000000E0,3.058051707E-3
6.346975300E-2,1.756185899E-3,4.886778072E-3,-0.000000000E0,5.192763121E-3
6.588418000E-2,1.756185899E-3,2.443389036E-3,-0.000000000E0,3.009042853E-3
6.829860700E-2,-1.374406274E-3,3.054236295E-3,6.108472589E-4,3.404480331E-3
7.071303400E-2,-7.635590737E-4,1.832541777E-3,-1.221694518E-3,2.331044684E-3
7.312746100E-2,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
7.554183600E-2,5.344913807E-4,-2.443389036E-3,6.108472589E-4,2.574677725E-3
7.795626300E-2,5.344913807E-4,-3.054236295E-3,1.221694518E-3,3.332653279E-3
8.037069000E-2,-1.374406274E-3,-2.443389036E-3,1.832541777E-3,3.349231546E-3
8.278511700E-2,-1.527118147E-4,-3.054236295E-3,-0.000000000E0,3.058051707E-3
8.519954400E-2,-1.527118147E-4,-2.443389036E-3,-6.108472589E-4,2.523213279E-3
8.761397100E-2,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
9.002839900E-2,-1.527118147E-4,2.443389036E-3,6.108472589E-4,2.523213279E-3
9.244282600E-2,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
9.485720100E-2,5.344913807E-4,1.221694518E-3,1.221694518E-3,1.808523162E-3
9.727162800E-2,5.344913807E-4,1.832541777E-3,-0.000000000E0,1.908897692E-3
9.968605500E-2,-1.527118147E-4,1.221694518E-3,-0.000000000E0,1.231202012E-3
1.021004820E-1,1.145338640E-3,-0.000000000E0,6.108472589E-4,1.298050451E-3
1.045149090E-1,1.145338640E-3,-6.108472589E-4,6.108472589E-4,1.434597277E-3
1.069293360E-1,-7.635590737E-4,-1.221694518E-3,-6.108472589E-4,1.564830447E-3
1.093437110E-1,-1.374406274E-3,-2.443389036E-3,-0.000000000E0,2.803416235E-3
1.117581380E-1,5.344913807E-4,-3.054236295E-3,6.108472589E-4,3.160249160E-3
1.141725650E-1,-1.527118147E-4,-1.221694518E-3,6.108472589E-4,1.374406333E-3
1.165869920E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
1.190014190E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
1.214158460E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
1.238302740E-1,-1.527118147E-4,1.832541777E-3,6.108472589E-4,1.937695703E-3
1.262446490E-1,1.145338640E-3,1.832541777E-3,-0.000000000E0,2.161020584E-3
1.286590760E-1,-1.527118147E-4,1.221694518E-3,-0.000000000E0,1.231202012E-3
1.310735030E-1,5.344913807E-4,2.443389036E-3,-0.000000000E0,2.501165931E-3
1.334879300E-1,-1.527118147E-4,1.221694518E-3,6.108472589E-4,1.374406333E-3
1.359023570E-1,-7.635590737E-4,6.108472589E-4,-6.108472589E-4,1.152948918E-3
1.383167840E-1,-1.527118147E-4,-6.108472589E-4,1.221694518E-3,1.374406333E-3
1.407312110E-1,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
1.431456380E-1,5.344913807E-4,-1.221694518E-3,6.108472589E-4,1.466749094E-3
1.455600130E-1,-7.635590737E-4,-1.221694518E-3,6.108472589E-4,1.564830447E-3
1.479744400E-1,-1.527118147E-4,-1.221694518E-3,6.108472589E-4,1.374406333E-3
1.503888670E-1,-1.374406274E-3,6.108472589E-4,-0.000000000E0,1.504036895E-3
1.528032940E-1,-7.635590737E-4,6.108472589E-4,-0.000000000E0,9.778327223E-4
1.552177210E-1,-1.527118147E-4,6.108472589E-4,6.108472589E-4,8.772625866E-4
1.576321490E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
1.600465760E-1,5.344913807E-4,1.832541777E-3,6.108472589E-4,2.004251674E-3
1.624609510E-1,1.145338640E-3,1.221694518E-3,-6.108472589E-4,1.782546624E-3
1.648753780E-1,5.344913807E-4,-6.108472589E-4,-1.221694518E-3,1.466749094E-3
1.672898050E-1,-1.985253533E-3,6.108472589E-4,-6.108472589E-4,2.165063588E-3
1.697042320E-1,-7.635590737E-4,-0.000000000E0,6.108472589E-4,9.778327223E-4
1.721186590E-1,-7.635590737E-4,-1.221694518E-3,-1.221694518E-3,1.888940827E-3
1.745330860E-1,-7.635590737E-4,-1.221694518E-3,-1.221694518E-3,1.888940827E-3
1.769475130E-1,5.344913807E-4,-6.108472589E-4,-0.000000000E0,8.116744481E-4
1.793618880E-1,-7.635590737E-4,-1.221694518E-3,-6.108472589E-4,1.564830447E-3
1.817763150E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
1.841907420E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
1.866051690E-1,5.344913807E-4,-0.000000000E0,1.221694518E-3,1.333498606E-3
1.890195960E-1,-1.527118147E-4,1.221694518E-3,-0.000000000E0,1.231202012E-3
1.914340240E-1,5.344913807E-4,2.443389036E-3,-0.000000000E0,2.501165931E-3
1.938484510E-1,-7.635590737E-4,1.221694518E-3,-1.832541777E-3,2.331044684E-3
1.962628780E-1,-7.635590737E-4,-0.000000000E0,-6.108472589E-4,9.778327223E-4
1.986772530E-1,5.344913807E-4,6.108472589E-4,1.221694518E-3,1.466749094E-3
2.010916800E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
2.035061070E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
2.059205340E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
2.083349610E-1,-1.527118147E-4,1.221694518E-3,-6.108472589E-4,1.374406333E-3
2.107493880E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
2.131638150E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
2.155781900E-1,-7.635590737E-4,-0.000000000E0,-6.108472589E-4,9.778327223E-4
