"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.404406500E-2,1.896311939E-1,-1.537388563E-1,9.871889114E0
6.370130500E-2,1.944168359E-1,-1.896311939E-1,9.879067421E0
7.335854400E-2,1.920240223E-1,-1.609173268E-1,9.874281883E0
8.301578400E-2,2.087737769E-1,-1.537388563E-1,9.869496346E0
9.267302300E-2,2.063809484E-1,-1.848455518E-1,9.881460190E0
1.023302630E-1,2.231307179E-1,-1.944168359E-1,9.883852959E0
1.119875020E-1,2.231307179E-1,-1.657029688E-1,9.874281883E0
1.216446900E-1,2.063809484E-1,-1.513460279E-1,9.886245728E0
1.313019300E-1,2.207378894E-1,-1.633101404E-1,9.867103577E0
1.409591690E-1,2.039881349E-1,-1.776670814E-1,9.876674652E0
1.506164090E-1,1.944168359E-1,-1.752742529E-1,9.874281883E0
1.602736480E-1,2.327020019E-1,-1.465603858E-1,9.879067421E0
1.699308880E-1,2.087737769E-1,-1.657029688E-1,9.864710808E0
1.795881270E-1,2.111666054E-1,-1.609173268E-1,9.869496346E0
1.892453670E-1,2.087737769E-1,-1.824527234E-1,9.871889114E0
1.989026070E-1,2.015953064E-1,-1.728814393E-1,9.874281883E0
2.085598460E-1,1.920240223E-1,-1.609173268E-1,9.871889114E0
2.182170340E-1,2.135594189E-1,-1.728814393E-1,9.879067421E0
2.278742730E-1,2.039881349E-1,-1.561316848E-1,9.881460190E0
2.375315130E-1,1.992024779E-1,-1.657029688E-1,9.886245728E0
2.471887520E-1,1.896311939E-1,-1.824527234E-1,9.857531548E0
2.568459920E-1,2.063809484E-1,-1.393819153E-1,9.874281883E0
2.665032320E-1,2.111666054E-1,-1.513460279E-1,9.874281883E0
2.761604710E-1,2.087737769E-1,-1.513460279E-1,9.879067421E0
2.858177110E-1,2.231307179E-1,-1.704886109E-1,9.867103577E0
2.954749500E-1,2.111666054E-1,-1.896311939E-1,9.888638496E0
3.051321900E-1,2.039881349E-1,-1.872383654E-1,9.891031265E0
3.147894300E-1,2.063809484E-1,-1.848455518E-1,9.867103577E0
3.244466170E-1,2.159522474E-1,-1.561316848E-1,9.883852959E0
3.341038570E-1,1.992024779E-1,-1.800599098E-1,9.879067421E0
3.437610960E-1,1.800599098E-1,-1.657029688E-1,9.879067421E0
3.534183360E-1,1.872383654E-1,-1.680957973E-1,9.871889114E0
3.630755750E-1,1.920240223E-1,-1.704886109E-1,9.886245728E0
3.727328150E-1,1.800599098E-1,-1.657029688E-1,9.876674652E0
3.823900550E-1,1.896311939E-1,-2.063809484E-1,9.881460190E0
3.920472940E-1,1.992024779E-1,-1.872383654E-1,9.871889114E0
4.017045340E-1,2.063809484E-1,-1.776670814E-1,9.876674652E0
4.113617730E-1,2.207378894E-1,-1.752742529E-1,9.876674652E0
4.210190130E-1,2.159522474E-1,-1.657029688E-1,9.883852959E0
4.306762520E-1,2.135594189E-1,-1.776670814E-1,9.883852959E0
4.403334400E-1,2.111666054E-1,-1.752742529E-1,9.883852959E0
4.499906800E-1,2.135594189E-1,-1.657029688E-1,9.874281883E0
4.596479190E-1,1.920240223E-1,-1.752742529E-1,9.867103577E0
4.693051590E-1,2.135594189E-1,-1.752742529E-1,9.876674652E0
4.789623980E-1,2.063809484E-1,-1.680957973E-1,9.888638496E0
