"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.154406500E-2,7.635590737E-4,-6.872031372E-4,6.108472589E-4
6.120130500E-2,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
7.085854400E-2,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
8.051578400E-2,1.527118147E-4,-7.635590737E-5,-0.000000000E0
9.017302300E-2,1.527118147E-4,-7.635590737E-5,6.108472589E-4
9.983026300E-2,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.094875020E-1,7.635590737E-4,1.145338640E-3,-0.000000000E0
1.191446900E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.288019300E-1,1.527118147E-4,5.344913807E-4,-6.108472589E-4
1.384591690E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.481164090E-1,-4.581354442E-4,5.344913807E-4,6.108472589E-4
1.577736480E-1,7.635590737E-4,-7.635590737E-5,6.108472589E-4
1.674308880E-1,7.635590737E-4,-7.635590737E-5,6.108472589E-4
1.770881270E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.867453670E-1,1.527118147E-4,1.145338640E-3,-0.000000000E0
1.964026070E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
2.060598460E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
2.157170340E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
2.253742730E-1,-4.581354442E-4,5.344913807E-4,6.108472589E-4
2.350315130E-1,-4.581354442E-4,5.344913807E-4,-6.108472589E-4
2.446887520E-1,1.527118147E-4,5.344913807E-4,-6.108472589E-4
2.543459920E-1,-4.581354442E-4,5.344913807E-4,-0.000000000E0
2.640032320E-1,-4.581354442E-4,1.145338640E-3,-0.000000000E0
2.736604710E-1,-4.581354442E-4,1.145338640E-3,-0.000000000E0
2.833177110E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
2.929749500E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
3.026321900E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
3.122894300E-1,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
3.219466170E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
3.316038570E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
3.412610960E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
3.509183360E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
3.605755750E-1,7.635590737E-4,-7.635590737E-5,6.108472589E-4
3.702328150E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
3.798900550E-1,7.635590737E-4,-7.635590737E-5,6.108472589E-4
3.895472940E-1,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
3.992045340E-1,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
4.088617730E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
4.185190130E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
4.281762520E-1,-4.581354442E-4,-7.635590737E-5,1.221694518E-3
4.378334400E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
4.474906800E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
4.571479190E-1,7.635590737E-4,5.344913807E-4,6.108472589E-4
4.668051590E-1,7.635590737E-4,-7.635590737E-5,6.108472589E-4
4.764623980E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
4.861196380E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
4.957768770E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
5.054341170E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
5.150913570E-1,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
5.247485960E-1,-4.581354442E-4,-7.635590737E-5,-6.108472589E-4
5.344058360E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
5.440630230E-1,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
5.537202630E-1,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
5.633775020E-1,7.635590737E-4,5.344913807E-4,-0.000000000E0
5.730347420E-1,7.635590737E-4,5.344913807E-4,-0.000000000E0
5.826919820E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
5.923492210E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
6.020064610E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
6.116637000E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
6.213209400E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
6.309781800E-1,1.527118147E-4,-6.872031372E-4,-0.000000000E0
6.406354190E-1,-4.581354442E-4,-7.635590737E-5,-6.108472589E-4
6.502926070E-1,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
6.599498460E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
6.696070860E-1,-4.581354442E-4,5.344913807E-4,-0.000000000E0
6.792643250E-1,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
6.889215650E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
6.985788050E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
7.082360440E-1,7.635590737E-4,-7.635590737E-5,-0.000000000E0
7.178932840E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
7.275505230E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
7.372077630E-1,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
7.468650020E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
7.565221900E-1,7.635590737E-4,-7.635590737E-5,-0.000000000E0
7.661794820E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
7.758366690E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
7.854939090E-1,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
7.951511480E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
8.048083880E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
8.144656270E-1,7.635590737E-4,-7.635590737E-5,-0.000000000E0
8.241228670E-1,7.635590737E-4,-7.635590737E-5,-0.000000000E0
8.337801070E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
8.434373460E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
8.530945860E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
8.627518250E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
8.724090650E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
8.820663050E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
8.917234920E-1,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
9.013807320E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
9.110379710E-1,-4.581354442E-4,5.344913807E-4,6.108472589E-4
9.206952110E-1,-1.068982761E-3,5.344913807E-4,-0.000000000E0
9.303524500E-1,1.527118147E-4,5.344913807E-4,6.108472589E-4
9.400096900E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
9.496669300E-1,1.527118147E-4,-7.635590737E-5,6.108472589E-4
9.593241690E-1,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
9.689814090E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
9.786386480E-1,-4.581354442E-4,5.344913807E-4,-6.108472589E-4
9.882958880E-1,1.527118147E-4,5.344913807E-4,-0.000000000E0
9.979531270E-1,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.007610367E0,1.527118147E-4,-6.872031372E-4,-6.108472589E-4
1.017267555E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.026924794E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.036582034E0,7.635590737E-4,5.344913807E-4,-0.000000000E0
1.046239273E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.055896513E0,-4.581354442E-4,5.344913807E-4,-0.000000000E0
1.065553752E0,-4.581354442E-4,5.344913807E-4,6.108472589E-4
1.075210992E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.084868232E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.094525471E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.104182711E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.113839950E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.123497190E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.133154430E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.142811617E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.152468857E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.162126096E0,-4.581354442E-4,5.344913807E-4,-0.000000000E0
1.171783336E0,-4.581354442E-4,5.344913807E-4,-0.000000000E0
1.181440575E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.191097815E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.200755055E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.210412294E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.220069534E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
1.229726773E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.239384013E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.249041252E0,7.635590737E-4,5.344913807E-4,-0.000000000E0
1.258698492E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.268355732E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.278012919E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.287670159E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.297327398E0,7.635590737E-4,-6.872031372E-4,-0.000000000E0
1.306984638E0,7.635590737E-4,-6.872031372E-4,-0.000000000E0
1.316641877E0,7.635590737E-4,5.344913807E-4,-0.000000000E0
1.326299117E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.335956357E0,-4.581354442E-4,5.344913807E-4,-0.000000000E0
1.345613596E0,-4.581354442E-4,5.344913807E-4,6.108472589E-4
1.355270836E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.364928075E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.374585315E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.384242555E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.393899794E0,7.635590737E-4,-7.635590737E-5,6.108472589E-4
1.403557034E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.413214221E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.422871461E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.432528700E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.442185940E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.451843180E0,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
1.461500419E0,-1.068982761E-3,-7.635590737E-5,6.108472589E-4
1.471157659E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.480814898E0,1.527118147E-4,5.344913807E-4,6.108472589E-4
1.490472138E0,7.635590737E-4,5.344913807E-4,6.108472589E-4
1.500129377E0,1.527118147E-4,5.344913807E-4,1.221694518E-3
1.509786617E0,-4.581354442E-4,5.344913807E-4,6.108472589E-4
1.519443857E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.529101096E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.538758336E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.548415523E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.558072763E0,-4.581354442E-4,5.344913807E-4,-0.000000000E0
1.567730002E0,1.527118147E-4,-6.872031372E-4,6.108472589E-4
1.577387242E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.587044482E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.596701721E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.606358961E0,1.527118147E-4,-6.872031372E-4,6.108472589E-4
1.616016200E0,1.527118147E-4,-6.872031372E-4,6.108472589E-4
1.625673440E0,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
1.635330680E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.644987919E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.654645159E0,1.527118147E-4,-7.635590737E-5,-6.108472589E-4
1.664302398E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.673959638E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
1.683616877E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.693274065E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
1.702931305E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.712588544E0,7.635590737E-4,-7.635590737E-5,6.108472589E-4
1.722245784E0,7.635590737E-4,-7.635590737E-5,6.108472589E-4
1.731903023E0,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
1.741560263E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.751217502E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.760874742E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.770531982E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.780189221E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.789846461E0,-4.581354442E-4,-1.298050396E-3,-0.000000000E0
1.799503700E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.809160940E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.818818180E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
1.828475419E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.838132659E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.847789898E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.857447086E0,1.527118147E-4,5.344913807E-4,-0.000000000E0
1.867104325E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.876761565E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
1.886418805E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
1.896076044E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.905733284E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.915390523E0,-4.581354442E-4,-7.635590737E-5,-6.108472589E-4
1.925047763E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
1.934705002E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
1.944362242E0,1.527118147E-4,-6.872031372E-4,-6.108472589E-4
1.954019482E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
1.963676721E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
1.973333961E0,-4.581354442E-4,-6.872031372E-4,6.108472589E-4
1.982991200E0,-4.581354442E-4,5.344913807E-4,6.108472589E-4
1.992648388E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
2.002305627E0,7.635590737E-4,-7.635590737E-5,-0.000000000E0
2.011962867E0,7.635590737E-4,5.344913807E-4,-0.000000000E0
2.021620107E0,7.635590737E-4,5.344913807E-4,6.108472589E-4
2.031277346E0,7.635590737E-4,-7.635590737E-5,-6.108472589E-4
2.040934586E0,-4.581354442E-4,5.344913807E-4,6.108472589E-4
2.050591825E0,-4.581354442E-4,-6.872031372E-4,1.221694518E-3
2.060249065E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
2.069906305E0,7.635590737E-4,5.344913807E-4,-0.000000000E0
2.079563544E0,1.527118147E-4,-7.635590737E-5,6.108472589E-4
2.089220784E0,1.527118147E-4,-6.872031372E-4,-0.000000000E0
2.098878023E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
2.108535263E0,1.527118147E-4,-7.635590737E-5,-0.000000000E0
2.118192502E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
2.127849742E0,-4.581354442E-4,-7.635590737E-5,-0.000000000E0
2.137506982E0,-4.581354442E-4,-7.635590737E-5,6.108472589E-4
